Using command line value for config of json/experiments/TournoumentConfigs/Fair/Catan_LearnedHeuristic_Full_3P_200_LLAMA_Fair.json
[LLMActionPlayer] API call took 374 ms (model=OPENROUTER size=LARGE)
[WIN_GAME,LOSE_GAME,LOSE_GAME]
[LLMActionPlayer] API call took 416 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 350 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 178 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 211 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 198 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 176 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 326 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 234 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 270 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 218 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 260 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 218 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 251 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 206 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 599 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 251 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 417 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 189 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 218 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 247 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 192 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 255 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 1748 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 240 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 166 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 237 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 182 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 246 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 185 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 197 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 220 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 201 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 215 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 181 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 238 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 311 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 192 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 213 ms (model=OPENROUTER size=LARGE)
[WIN_GAME,LOSE_GAME,LOSE_GAME]
[LLMActionPlayer] API call took 242 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 399 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 236 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 221 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 149 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 405 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 158 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 248 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 135 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 1436 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 176 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 275 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 242 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 174 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 169 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 309 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 183 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 205 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 173 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 191 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 225 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 244 ms (model=OPENROUTER size=LARGE)
[WIN_GAME,LOSE_GAME,LOSE_GAME]
[LLMActionPlayer] API call took 298 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 292 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 257 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 202 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 269 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 261 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 267 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 183 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 200 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 209 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 252 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 319 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 467 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 212 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 260 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 209 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 281 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 203 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 237 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 143 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 254 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 209 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 192 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 263 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 154 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 146 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 241 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 221 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 222 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 215 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 276 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 210 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 213 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 212 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 217 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 452 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 196 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 436 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 233 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 228 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 674 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 187 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 262 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 180 ms (model=OPENROUTER size=LARGE)
[WIN_GAME,LOSE_GAME,LOSE_GAME]
[LLMActionPlayer] API call took 208 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 202 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 574 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 1416 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 696 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 195 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 179 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 154 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 1855 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 223 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 285 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 256 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 1025 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 257 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 213 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 141 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 1608 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 189 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 1380 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 1948 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 184 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 1474 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 227 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 183 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 191 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 983 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 187 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 163 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 207 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 229 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 1591 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 224 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 259 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 216 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 261 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 253 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 1196 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 228 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 2343 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 354 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 1427 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 177 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 176 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 236 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 507 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 209 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 1168 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 232 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 426 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 185 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 192 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 520 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 254 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 267 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 291 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 244 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 253 ms (model=OPENROUTER size=LARGE)
[WIN_GAME,LOSE_GAME,LOSE_GAME]
[LLMActionPlayer] API call took 244 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 2923 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 168 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 199 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 186 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 185 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 208 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 187 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 208 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 162 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 266 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 440 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 211 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 159 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 453 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 235 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 176 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 1611 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 247 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 164 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 3088 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 210 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 302 ms (model=OPENROUTER size=LARGE)
[WIN_GAME,LOSE_GAME,LOSE_GAME]
[LLMActionPlayer] API call took 262 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 1848 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 211 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 149 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 676 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 360 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 198 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 251 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 187 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 293 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 194 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 215 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 457 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 1418 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 378 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 148 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 442 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 218 ms (model=OPENROUTER size=LARGE)
[LOSE_GAME,WIN_GAME,LOSE_GAME]
[LLMActionPlayer] API call took 428 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 244 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 225 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 232 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 832 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 155 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 216 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 148 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 243 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 151 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 1342 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 250 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 1672 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 252 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 206 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 1689 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 183 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 223 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 322 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 1936 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 216 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 215 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 281 ms (model=OPENROUTER size=LARGE)
[WIN_GAME,LOSE_GAME,LOSE_GAME]
[LLMActionPlayer] API call took 308 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 333 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 1412 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 217 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 1187 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 212 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 175 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 219 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 214 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 279 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 316 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 169 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 491 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 208 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 672 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 161 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 223 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 257 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 274 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 242 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 222 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 250 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 249 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 206 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 228 ms (model=OPENROUTER size=LARGE)
[DRAW_GAME,DRAW_GAME,LOSE_GAME]
[LLMActionPlayer] API call took 316 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 289 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 241 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 223 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 1084 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 164 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 282 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 494 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 1761 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 248 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 1381 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 156 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 208 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 195 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 282 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 1663 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 228 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 227 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 206 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 2112 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 228 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 162 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 235 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 231 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 197 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 266 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 1258 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 221 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 152 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 304 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 207 ms (model=OPENROUTER size=LARGE)
[LOSE_GAME,WIN_GAME,LOSE_GAME]
[LLMActionPlayer] API call took 340 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 217 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 181 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 1476 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 910 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 281 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 142 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 156 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 278 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 175 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 555 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 272 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 207 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 267 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 1326 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 238 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 269 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 277 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 287 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 259 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 212 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 183 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 219 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 707 ms (model=OPENROUTER size=LARGE)
[WIN_GAME,LOSE_GAME,LOSE_GAME]
[LLMActionPlayer] API call took 226 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 1489 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 1018 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 132 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 184 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 241 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 190 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 330 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 168 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 374 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 233 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 179 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 215 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 317 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 345 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 182 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 212 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 177 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 292 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 683 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 178 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 180 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 196 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 196 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 178 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 234 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 260 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 252 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 231 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 252 ms (model=OPENROUTER size=LARGE)
[LLMActionPlayer] API call took 143 ms (model=OPENROUTER size=LARGE)
